Prey ,454, Predator ,416, Grass ,1248
Prey ,463, Predator ,419, Grass ,1241
Prey ,479, Predator ,419, Grass ,1251
Prey ,476, Predator ,428, Grass ,1232
Prey ,489, Predator ,433, Grass ,1219
Prey ,508, Predator ,431, Grass ,1218
Prey ,502, Predator ,433, Grass ,1216
Prey ,492, Predator ,433, Grass ,1214
Prey ,495, Predator ,437, Grass ,1199
Prey ,502, Predator ,441, Grass ,1173
Prey ,494, Predator ,438, Grass ,1176
Prey ,500, Predator ,440, Grass ,1175
Prey ,511, Predator ,435, Grass ,1177
Prey ,517, Predator ,431, Grass ,1180
Prey ,519, Predator ,436, Grass ,1181
Prey ,505, Predator ,424, Grass ,1176
Prey ,506, Predator ,419, Grass ,1165
Prey ,532, Predator ,409, Grass ,1162
Prey ,534, Predator ,403, Grass ,1145
Prey ,538, Predator ,400, Grass ,1142
Prey ,557, Predator ,401, Grass ,1134
Prey ,555, Predator ,401, Grass ,1130
Prey ,534, Predator ,403, Grass ,1127
Prey ,517, Predator ,412, Grass ,1114
Prey ,499, Predator ,416, Grass ,1126
Prey ,489, Predator ,416, Grass ,1127
Prey ,500, Predator ,408, Grass ,1114
Prey ,495, Predator ,408, Grass ,1113
Prey ,507, Predator ,407, Grass ,1115
Prey ,500, Predator ,409, Grass ,1116
Prey ,495, Predator ,415, Grass ,1118
Prey ,496, Predator ,416, Grass ,1111
Prey ,493, Predator ,417, Grass ,1117
Prey ,514, Predator ,419, Grass ,1124
Prey ,505, Predator ,416, Grass ,1130
Prey ,504, Predator ,417, Grass ,1140
Prey ,492, Predator ,417, Grass ,1148
Prey ,494, Predator ,414, Grass ,1147
Prey ,498, Predator ,423, Grass ,1150
Prey ,486, Predator ,425, Grass ,1150
Prey ,483, Predator ,425, Grass ,1149
Prey ,478, Predator ,428, Grass ,1161
Prey ,456, Predator ,422, Grass ,1158
Prey ,479, Predator ,428, Grass ,1148
Prey ,463, Predator ,433, Grass ,1154
Prey ,457, Predator ,436, Grass ,1154
Prey ,478, Predator ,449, Grass ,1155
Prey ,467, Predator ,447, Grass ,1172
Prey ,455, Predator ,443, Grass ,1180
Prey ,470, Predator ,448, Grass ,1181
Prey ,452, Predator ,452, Grass ,1174
Prey ,468, Predator ,453, Grass ,1176
Prey ,482, Predator ,452, Grass ,1169
Prey ,484, Predator ,446, Grass ,1179
Prey ,449, Predator ,445, Grass ,1181
Prey ,451, Predator ,442, Grass ,1184
Prey ,429, Predator ,442, Grass ,1199
Prey ,437, Predator ,434, Grass ,1211
Prey ,452, Predator ,444, Grass ,1229
Prey ,445, Predator ,442, Grass ,1231
Prey ,445, Predator ,450, Grass ,1234
Prey ,457, Predator ,450, Grass ,1246
Prey ,453, Predator ,457, Grass ,1226
Prey ,442, Predator ,453, Grass ,1231
Prey ,420, Predator ,449, Grass ,1247
Prey ,417, Predator ,442, Grass ,1252
Prey ,428, Predator ,443, Grass ,1261
Prey ,422, Predator ,441, Grass ,1277
Prey ,434, Predator ,440, Grass ,1280
Prey ,429, Predator ,440, Grass ,1280
Prey ,413, Predator ,439, Grass ,1278
Prey ,386, Predator ,438, Grass ,1286
Prey ,381, Predator ,438, Grass ,1292
Prey ,388, Predator ,448, Grass ,1283
Prey ,387, Predator ,448, Grass ,1282
Prey ,386, Predator ,448, Grass ,1290
Prey ,384, Predator ,453, Grass ,1292
Prey ,394, Predator ,456, Grass ,1288
Prey ,392, Predator ,461, Grass ,1276
Prey ,377, Predator ,452, Grass ,1271
Prey ,387, Predator ,451, Grass ,1274
Prey ,384, Predator ,452, Grass ,1285
Prey ,386, Predator ,452, Grass ,1288
Prey ,409, Predator ,452, Grass ,1294
Prey ,406, Predator ,445, Grass ,1299
Prey ,417, Predator ,446, Grass ,1303
Prey ,422, Predator ,441, Grass ,1286
Prey ,422, Predator ,456, Grass ,1285
Prey ,415, Predator ,448, Grass ,1287
Prey ,412, Predator ,443, Grass ,1292
Prey ,413, Predator ,439, Grass ,1295
Prey ,424, Predator ,436, Grass ,1287
Prey ,425, Predator ,430, Grass ,1285
Prey ,426, Predator ,436, Grass ,1271
Prey ,429, Predator ,428, Grass ,1254
Prey ,444, Predator ,424, Grass ,1249
Prey ,472, Predator ,418, Grass ,1245
Prey ,470, Predator ,418, Grass ,1242
Prey ,482, Predator ,410, Grass ,1236
